證券代碼,簡稱,年月日,未調整收盤價(元),外資買賣超(張),投信買賣超(張),自營買賣超(張),融資增加(張),融資減少(張),融券增加(張),融券減少(張),外資買賣超日數,投信買賣超日數,自營買賣超日數,外資連續累計買賣超(張),投信連續累計買賣超(張),自營連續累計買賣超(張),外資成交比重,投信成交比重,自營成交比重,信用交易比重,資券互抵(張),資券互抵比例,實際週轉率％,外資總持股率_不含董監%,投信持股率％,自營持股率％,董監持股％,董監質押％,融資餘額(張),融資餘額(千元),融資使用率,融券餘額(張),融券餘額(千元),融券使用率,券資比
2330,台積電       ,20160602,159,6857,-40,-447,0,432,181,0,7,-4,-3,69255,-227,-1094,75.62,0.5,2.03,0.57,121,0.55,0.09,77.86,0.91,0.02,7,0,12654,2013251.4,0.2,3281,522007.1,0.05,25.93
2330,台積電       ,20160603,160.5,16979,-171,-289,0,587,531,0,8,-5,-4,86234,-398,-1383,66.83,0.51,0.91,0.29,86,0.27,0.13,77.92,0.9,0.02,7,0,12067,1931202.68,0.19,3812,610072.48,0.06,31.59
2330,台積電       ,20160604,160,752,-708,646,0,26,0,73,9,-6,1,86986,-1106,646,16.88,20.64,12.39,0.17,3,0.11,0.01,77.92,0.9,0.02,7,0,12041,1923790.57,0.19,3739,597380.03,0.06,31.05
2330,台積電       ,20160606,161,11302,-105,72,0,260,35,0,10,-7,2,98288,-1211,718,68.97,0.86,2.69,0.54,151,0.52,0.12,77.95,0.9,0.02,7,0,11781,1896269.76,0.18,3774,607463.04,0.06,32.03
2330,台積電       ,20160607,162,17830,18,536,0,173,487,0,11,1,3,116118,18,1254,70.03,0.33,1.88,0.19,78,0.16,0.2,78.02,0.9,0.02,7,0,11608,1885139.2,0.18,4261,691986.4,0.07,36.71
2330,台積電       ,20160608,165.5,19134,-117,-54,0,436,62,0,12,-1,-1,135252,-117,-54,62.38,0.5,1.94,0.35,146,0.32,0.19,78.1,0.9,0.02,7,0,11172,1843603.44,0.17,4323,713381.46,0.07,38.69
2330,台積電       ,20160613,162,-8881,-426,1842,44,0,0,1046,-1,-2,1,-8881,-543,1842,82.45,0.5,2.46,0.19,94,0.17,0.23,78.07,0.9,0.03,7,0,11216,1813739.36,0.17,3277,529923.67,0.05,29.22
2330,台積電       ,20160614,162,3633,-453,1950,90,0,0,347,1,-3,2,3633,-996,3792,67.28,0.95,5.52,0.21,52,0.19,0.12,78.08,0.9,0.04,7,0,11306,1832137.3,0.17,2930,474806.5,0.05,25.92
2330,台積電       ,20160615,163,5152,14,1996,0,299,0,53,2,1,3,8785,14,5788,72.01,0.06,5.67,0.18,48,0.16,0.12,78.1,0.9,0.05,7,0,11007,1787646.87,0.17,2877,467253.57,0.04,26.14
2330,台積電       ,20160616,160.5,-10653,-258,1960,78,0,0,686,-1,-1,4,-10653,-258,7748,75.03,0.35,4.81,0.18,56,0.15,0.15,78.06,0.9,0.05,7,0,11085,1782468,0.17,2191,352312.8,0.03,19.77
2330,台積電       ,20160617,163,7676,-309,-306,0,424,0,129,1,-2,-1,7676,-567,-306,74.8,0.5,6.01,0.19,54,0.17,0.13,78.09,0.9,0.05,7,0,10661,1741474.35,0.16,2062,336827.7,0.03,19.34
2330,台積電       ,20160620,163,-366,75,2249,102,0,0,626,-1,1,1,-366,75,2249,67.22,0.35,7.36,0.18,38,0.15,0.1,78.07,0.9,0.06,7,0,10763,1764486.22,0.17,1436,235417.84,0.02,13.34
2330,台積電       ,20160621,165.5,11665,-9,555,0,335,0,1361,1,-1,2,11665,-9,2804,58.74,0.03,6.71,0.04,0,0,0.12,78.13,0.9,0.06,7,0,10428,1718742.96,0.16,75,12361.5,0,0.72
2330,台積電       ,20160622,166,4326,-5,2583,280,0,0,75,2,-2,3,15991,-14,5387,69.27,0.16,9.05,0.02,0,0,0.13,78.12,0.9,0.07,7,0,10708,1765320.88,0.17,0,0,0,0
2330,台積電       ,20160623,164,1827,-15,2898,536,0,0,0,3,-3,4,17818,-29,8285,60.86,0.14,9.03,0.02,0,0,0.09,78.12,0.9,0.09,7,0,11244,1849075.8,0.17,0,0,0,0
2330,台積電       ,20160624,159,-39336,-680,9460,1828,0,0,0,-1,-4,5,-39336,-709,17745,52.46,0.46,7.68,0.02,0,0,0.36,77.98,0.89,0.12,7,0,13072,2081846.72,0.2,0,0,0,0
2330,台積電       ,20160627,155.5,6304,475,-5051,302,0,992,0,1,1,-1,6304,475,-5051,45.14,0.94,7.01,0.27,100,0.23,0.18,77.99,0.9,0.1,7,0,13374,2076848.46,0.21,992,154047.68,0.02,7.42
