2308 vloume (thousand),2360,3665,1536,1503,4721,2371,1537,1723,6509,8183,1533,2308 foreign investment (m),2308 investment credit (m),2308 dealer (m),MA20,MA60,MACD,RSI,slowk,slowd,taiwan_index,SP500
1047068,0.00990085,0.013483482,0.011751329,0.002110314,-0.001664079,-0.014662757,-0.003649392,-0.006536054,0.07864798,0.013964453,-0.008665849,326.03,6.05,52.16,178.709015,183.5292683,-1.676257003,51.98531332,85.22363082,66.43881552,0.012427998,0.005747091
1781572,0.032679748,0.019955438,0.012671947,0.004209505,-0.00500056,-0.005952381,0.003662759,0.008772073,0.025003276,0.00826328,0.003495938,-69.93,0,215.84,178.97281,183.6571683,-1.269574123,52.66222667,92.44575555,83.41480251,0.003317005,-0.012319827
1001763,-0.025316327,-0.00434778,0.012513378,0.025157835,0.015075315,0.020958084,0.007298785,0.017391586,-0.010166386,0.013659262,0.00522739,443.32,0.77,-161.05,179.404475,183.7291117,-0.783437118,55.37259275,89.97638141,89.21525593,0.011047851,-0.006190391
1099235,0,-0.021834292,-0.007209258,-0.00715736,-0.001650351,0.032258065,0.003623764,0.004273572,-0.016426398,0.00269504,0.015597136,82.32,-60.74,-20.63,179.812155,183.8570117,-0.431891179,54.53202294,95.1848437,92.53566022,0.005332427,0.007395129
971505,0.012987293,-0.022321196,0,0.00309049,-0.00826366,0.022727273,0,-0.005319799,-0.025051096,-0.010751186,0.017065525,481.92,-5.6,-5.02,180.38771,184.0408683,0.001501123,57.32290264,91.03288979,92.06470497,-0.000677683,-0.006473401
1876044,0.016025639,0.002283081,-0.007261609,0.007186746,-0.025001049,0.008333333,-0.00361068,-0.001068968,0,-0.016302045,-0.018455075,382,-5.29,7.64,180.819375,184.19275,0.570604481,61.17284754,83.62552529,89.94775293,-0.002148739,0.012428381
1525755,-0.018927847,-0.00455576,-0.028212842,-0.009174789,-0.032478715,0.013774105,0.003623764,-0.01177692,0.019271083,0.002762034,-0.00171084,227.95,-2.33,-3.11,181.131135,184.3526267,0.895196519,58.33901975,69.90005914,81.51949141,-0.007081648,-0.003750261
994589,0.003215848,-0.00457661,-0.001075298,0.01234487,0.028269894,-0.02173913,0.007219736,0.010834405,0.029414873,0.013772133,-0.006848207,170.53,2.72,-1.36,181.39493,184.5524717,1.101046162,57.38480761,60.87743792,71.46767412,-0.006037659,0.00767046
1142480,-0.016025639,0,0.001076456,-0.004064058,0.010308628,0.005555556,-0.003583992,0,-0.026533642,0.008151023,0.008621018,217.45,0,-10.89,181.706685,184.7043533,1.288035526,58.12245983,56.83676052,62.53808586,0.012389444,0.007181027
935394,0,-0.01609227,0.011828278,-0.002041405,-0.010203444,-0.022099448,0,-0.003216053,0.02935321,-0.010780161,0.015383823,237.51,52.26,8,181.97048,184.7683033,1.458117387,58.8888181,62.22874855,59.98098233,-0.003561263,0.00361196
932646,0.019543692,0.011682618,-0.015940917,0.019426499,0.00343681,0.056497175,0,0.00322643,0.036658156,0.008173229,0.099325694,323.05,14.15,10.41,182.234275,184.8722217,1.68953973,61.18390256,66.51453517,61.86001475,0.001156863,0.00642974
561640,-0.031948886,0.016166107,-0.006479658,0.002006599,-0.006850078,0.024064171,-0.007194576,-0.003216053,-0.011787285,-0.002702323,0.027566786,164.27,-20.04,8.65,182.49807,185.0640717,1.851599517,61.18390256,69.5452977,66.09619381,0.003089169,0.006427728
792760,0,0,-0.004347945,0.003003871,-0.005172994,0.015665796,0.007246713,0.005375858,-0.019879804,0.035231024,-0.017883831,305.56,-13.36,-20.83,182.7139,185.1599967,1.957468586,61.18390256,51.21238714,62.42407334,-0.001409767,0.000632995
492533,-0.026402503,-0.009090813,-0.012009065,0.001994464,-0.006931372,0.097686375,0,-0.010694226,-0.02840049,0.010469723,-0.001518728,25.48,-0.58,-16.92,183.02566,185.239935,1.865064369,55.97969642,30.26043027,50.3393717,0.000791545,0.002742236
927155,0.00338954,0.00688066,0.024310071,0.001992609,0.008725147,0.067915691,-0.003596884,0.009729306,0.010437957,0.023318183,-0.022797244,-130.75,-2.69,74.11,183.481305,185.2958917,1.580112183,50.22850602,23.33410774,34.93564172,-0.002635365,-0.007969123
582060,0.010135717,0.00227788,-0.017260449,-0.005963829,0,-0.070175439,0,-0.002141362,-0.010330131,-0.03797455,-0.029548921,278.72,-55.04,-21.01,184.44056,185.3838233,1.530153494,55.18665172,50.00049642,34.53167814,-0.006311451,0.013996502
2070247,-0.010034015,-0.013636219,-0.010976097,0.002000578,-0.006919379,-0.033018868,0,-0.003218365,-0.006262774,-0.013156023,0.04487101,916.75,0,27.68,185.591665,185.3918167,2.124012031,67.16400603,70.69615365,48.0102526,-0.010226869,-0.002047125
1807707,-0.00675618,0.013824736,-0.00998917,0.003991047,-0.012196482,0.007317073,-0.00361068,-0.004305772,-0.014705235,-0.01866952,-0.021472033,405.61,0.4,36.96,186.191195,185.27191,2.373771147,61.92181844,65.38468735,62.02711247,-0.009205625,-0.000171932
1225054,-0.030612527,0,-0.007847747,-0.003975182,-0.01410909,0.007263923,-0.003622949,-0.004324391,0.023453109,-0.013585038,-0.021943198,-268.71,23.01,23.16,186.43101,184.9921283,2.121530327,52.2584539,34.20200013,56.76094704,0.003584312,0.002709874
2553404,-0.045613885,-0.002272703,-0.005649872,-0.015968428,-0.014311005,0.012019231,-0.003636123,-0.005429544,-0.016665939,-0.013772133,-0.003204612,-298.49,-1.71,-92.15,186.38305,184.728335,1.517125921,45.33249795,17.62924567,39.07197772,0.011492053,0.002303378
1200702,0.007353097,-0.020501405,-0.011363949,0.010142761,0,-0.016627078,0.003649392,0.002183442,-0.01059275,-0.022348931,-0.01286289,-129.16,0,-115.28,186.31111,184.4645417,0.873257785,42.88417113,15.1590656,22.3301038,0.010355677,-0.004404416
880609,0.025546812,0.041860525,0.021839688,0,0.025409299,-0.012077295,0,0.004357369,0.032118472,0.028573295,0.017917346,-64.11,-14.66,-94.21,186.335095,184.3286483,0.358851038,42.88417113,32.05614491,21.61481873,0.003955579,0.003158659
766767,0.007117592,0.024553789,0.021371726,0.006023698,0.00353836,0.002444988,0,0.001085193,-0.008298394,0.005554754,0.004800828,216.58,-5.18,-15,186.26315,184.1367967,0.257821808,49.24271258,40.82965261,29.34828771,0.004236462,0.003441136
1576088,0.038869718,-0.006535878,-0.004405409,-0.003993167,0.001763868,-0.007317073,0,-0.002166881,0.041843555,0.005524069,0.012736774,-58.56,-1.33,-5.86,186.335095,184.0568583,-0.01557969,45.80998414,60.2513116,44.37903637,0.011865699,0.010043684
1745984,-0.013605729,0.008771836,0.012168482,0.006011636,0.003521524,0.002457002,-0.003636123,-0.00108637,0.020079391,0.002746861,-0.003144147,614.81,-7.97,22.36,186.40704,184.0408717,0.153005231,52.88407772,69.40873494,56.82989972,-0.003485058,0.003596326
794246,0.013793399,0.058695491,0.009836337,0.005977827,0.029824229,0,0.007298785,0.007609397,0.02165256,0.005478672,0.003154064,15.6,-3.95,-2.37,186.335095,183.9049767,0.512911875,56.5491983,70.13091742,66.59698799,0.013795587,0.010195666
1056318,-0.006802865,-0.002053367,0.012987368,0,-0.010220829,-0.00245098,0.003623764,0.018338438,-0.013486877,-0.008173229,-0.014150243,-195.32,0,-6.94,186.383055,183.8010567,0.444692729,50.23648897,64.4947067,68.01145302,-0.003047008,0.001673024
1079673,0.010273824,-0.008230366,0.011751329,0.01583984,0.006883646,-0.002457002,0.007219736,0.026482905,-0.017577333,0.024727455,0.054227314,312,-9.16,34.71,186.742775,183.7690817,0.539219692,52.76048899,65.91913036,66.84825149,0.00389887,0.006732577
2649844,-0.00338954,-0.02697111,-0.001055996,0,0.001709595,-0.019704433,0.003584799,-0.012384098,-0.009939902,-0.008047303,-0.034797705,1197.86,85.04,4.57,187.00657,183.7530933,1.142787885,60.34213687,75.25247481,68.55543729,0.020981924,-0.002194977
923240,0.013605001,0.017057845,0.009514007,-0.001947813,0.001706677,-0.025125628,-0.003571994,-0.003134291,0.008031757,-0.008106969,0.031349226,-69.37,-1.6,22.1,187.270365,183.7850683,1.487861679,58.18704048,84.29610566,75.15590361,0.003038704,0.007525048
1596955,0.010066972,-0.025157409,0,0.003905302,-0.001703769,0.012886598,0.003584799,0.004192938,-0.007967761,0,-0.007599081,336.13,-4.65,11.66,187.70203,184.0248817,1.856046998,59.7356825,86.71788725,82.08882257,0.013262699,0.015365857
1609023,-0.009966638,0.023656122,0.002094299,0.001946088,0.006826709,-0.002544529,0,-0.005219843,0.038150844,0.008173229,0,552.8,13.26,-23.35,188.01379,184.2167333,2.391186526,63.16391852,84.71814995,85.24404762,-0.003692654,-0.035125836
1289640,0.006711554,-0.012605353,0.004179843,0.001942308,0.006778642,0.00255102,-0.003571994,0.020986698,0.042555348,0.002702323,-0.016844146,-133.78,-0.61,-20.28,188.661285,184.3925967,2.591903974,59.28136498,85.940296,85.79211107,-0.000436512,-0.008132999
1760724,-0.003333048,0.012766277,-0.001040611,-0.005815629,-0.010100386,-0.017811705,0.003584799,0.001027219,-0.012990296,0.013480804,0.02024749,574.91,-12.69,21.2,189.47665,184.6084283,3.102226715,64.0419391,82.67676333,84.44506976,0.011779296,-0.027756379
1138751,0.020066598,0.01890736,0.005208476,-0.001947813,0.006803486,-0.010362694,-0.007143184,0.013347787,-0.015036942,-0.002659192,0,94.68,3.34,2.72,190.315995,184.8482417,3.54322457,64.92522809,87.34301162,85.32002365,-0.00510736,0.020145025
1611001,0.016393443,0.004123668,0,0,0.003376983,-0.002617801,0,0.023302764,-0.005724939,0.010665129,0.009161898,277.93,-6.78,4.04,190.62775,185.1040433,4.077917197,67.50399607,78.12077661,82.71351719,-0.00494672,-0.017584791
907407,0,0.012320636,0.008290382,-0.007812678,0.001683692,-0.007874016,0,-0.0049511,0.011515805,-0.013190731,0.003025226,10.89,0.42,0.21,190.96349,185.319875,4.259062505,63.32565796,60.99958718,75.4877918,0.007775771,0.000533063
1680976,-0.00322553,-0.006085558,0.019526682,-0.003938144,0.021849442,0.010582011,0.007194576,0,0.075901985,0.010693642,0.006032204,271.62,-3.74,-333.66,191.97071,185.75154,4.199406408,60.11961396,66.33316515,68.48450965,0.001547777,0.012741809
1941641,-0.006472629,0.012245204,0.007056646,0.005930571,0.052632306,-0.005235602,0,0.014926147,-0.007054361,0.031746992,0.0149931,498.31,20.74,86.78,193.40959,186.2231733,4.755248425,67.62225227,74.03223055,67.12166096,-0.010398721,0.005219386
1925495,-0.016286643,0.00806443,-0.01301337,-0.001965202,-0.012501394,0.1,0.00357119,0.009804075,-0.00177612,-0.017951465,0.007385814,33.44,0.22,25.54,195.160225,186.7827383,5.442631789,70.44046641,89.6383259,76.6679072,0.011861933,-0.004618958
3694079,-0.006622657,-0.020000212,-0.004056908,-0.009843269,-0.004745711,0.007177033,-0.003558482,-0.00485496,-0.00355856,-0.01044239,-0.014663327,73.41,-2.02,-28.12,197.03077,187.3502983,6.263499874,73.26027119,86.67537324,83.44864323,0.007451567,-0.008412372
2476053,0.059999857,0.008163614,-0.013237586,-0.008946798,-0.007950014,-0.019002375,0.010713571,-0.009756254,-0.00892817,0.021110654,-0.00297571,446.06,34.5,-62.88,198.949275,188.0857267,7.026560626,74.70405022,89.55793549,88.62387821,-0.000861382,-0.01118257
6881438,-0.003144385,-0.006072809,0.007224138,-0.009025436,0.011217531,0.021791768,0.010600802,-0.004925665,-0.018017201,0.036170464,-0.002984591,-60.32,10.67,17.32,201.227505,188.9650433,7.92692833,77.33925563,94.8055789,90.34629587,0.011114617,-0.011571124
2201883,-0.003154979,-0.006110346,0.039959015,0.003035162,-0.004753233,0.021327014,0.003497059,-0.009901146,-0.005504333,-0.022440749,-0.008983585,127.03,-0.95,-30.81,203.745545,189.964265,8.924620084,79.62512863,96.57799775,93.64717071,0.008785461,0.010517942
3057996,-0.003164287,-0.004098318,0.078817785,0.013117572,0.014331144,-0.004640371,0.013937137,0.014999708,-0.003689866,0.002550655,0.004532511,67.18,33.35,3.95,206.263585,191.019445,10.36979601,83.26175028,87.44797699,92.94385121,0.007280838,-0.023721411
4537719,0.034920363,-0.014403141,0.009131705,-0.009958815,-0.015698698,-0.016317016,0,0,-0.009258828,-0.002544166,0.061654744,-608.25,47.5,-97.09,208.949495,192.034655,11.61345014,84.17434594,75.40373012,86.47656829,0.002070973,0.002987408
3231978,0.018405307,0.012525963,-0.022624107,-0.004025306,-0.00319015,0,-0.013745564,0.004926712,0.014952568,-0.020410544,-0.042494563,77.19,41.58,-134.21,211.63541,193.0498667,12.37895066,82.55846819,65.15149644,76.00106785,-0.009774054,0.015976763
1883769,0.033132268,0.01030917,0.009259512,0.024243009,-0.011199581,0.04028436,0.006968177,-0.014706634,-0.011049212,0.013024414,0.02071268,171.43,1,7.78,213.841695,193.9931333,12.99068183,83.25098865,57.1102537,65.88849342,0.000856171,0.016110549
1568370,0.037900755,-0.00408159,-0.00458728,0,-0.003236609,0.097949886,-0.006919957,0.004975735,-0.020487116,-0.020567929,-0.037683751,152.77,1.49,-19.84,216.23983,194.9843617,13.09234834,78.23333504,48.91482201,57.05885738,-0.003550771,-0.004812627
2195662,-0.016853696,0.002049159,0.055299101,-0.009862689,-0.021104565,-0.037344398,-0.013937921,-0.0049511,-0.009505287,0,-0.001504269,452.4,0.54,-5.9,218.35019,195.8636783,13.21410246,79.35024349,36.54816025,47.52441199,-0.010029519,0.008253709
2339338,0.008571306,-0.008179874,0.001780789,-0.001990494,-0.008291072,0.079741379,0.007067466,0.009950412,0.042228642,0.0026243,0.006032204,197.78,-27.31,7.01,220.2687,196.7350017,12.81456164,72.17146721,29.74129326,38.40142517,0.016770776,0.005292893
3624596,0.022662771,-0.018556506,-0.06666685,0,0.003344857,-0.023952096,-0.007017868,-0.004925665,-0.031309961,-0.023556876,-0.01948862,773.33,-21.14,64.61,222.42702,197.6462933,12.31723751,71.39858412,37.06846831,34.45264061,-0.003182923,-0.009571699
