date,2308 adjclose,2308 vloume (thousand),2360,3665,1536,1503,4721,2371,1537,1723,6509,8183,1533,2308 foreign investment (m),2308 investment credit (m),2308 dealer (m),MA20,MA60,MACD,RSI,slowk,slowd,taiwan_index,SP500
2011/7/19,67.9182,331924,-0.005256028,-0.053205185,-0.003659375,0.008463759,-0.01042035,0.007633588,0.00195494,0.026783803,0.040461061,0,-0.004808663,11.54,21.32,-11.44,69.16059,74.93083667,-1.332766043,44.1661687,34.4770548,25.16343399,-0.001639619,0.016308678
2011/7/20,69.2435,300740,-0.042272257,-0.02305305,0.00734563,0.00559515,0.035092317,0.03030303,-0.005861374,0.009316695,-0.019443813,-0.003878245,-0.027371823,-172.41,5.43,-16.2,69.127465,74.62161833,-1.336237726,41.20698683,54.79829912,38.20076392,0.021303127,-0.000670822
2011/7/21,70.9,490457,-0.009654779,0.013270011,-0.007292065,0,-0.008475649,-0.003676471,0.007858562,0,0.016993292,-0.00128744,0.001653335,-111.5,5.02,6.79,69.30969,74.33448667,-1.218007988,46.36673671,66.30593761,51.86043051,0.001260026,0.013546129
2011/7/22,72.5566,523839,0.036212169,-0.020378312,-0.007355776,0.00556001,0.001706138,0.018450185,-0.00584597,-0.006153797,0,-0.022085547,0.029754138,-27.07,61.85,40.02,69.62444,74.06392167,-0.979354969,52.03312442,88.52843931,69.87755868,0.005527042,0.000907873
2011/7/25,71.5626,575569,0.025536571,0.034176233,0.022220632,0.006916567,0.003412257,-0.007246377,0.017645052,0.034055455,0.008358472,0.006638714,-0.017658755,7.67,24.64,57.71,69.806665,73.793355,-0.649064939,56.93343088,90.95202985,81.92880226,-0.009333373,-0.005643039
2011/7/26,71.3537,615238,-0.003931688,-0.031608199,-0.028986811,-0.012360342,0,-0.010948905,0.030832521,-0.002993989,-0.0276256,-0.006594932,-0.02451087,-48.28,22.79,63.72,69.96188,73.56900333,-0.462187396,53.40777663,84.02327994,87.83458303,0.012751756,-0.004104888
2011/7/27,70.6576,724367,0.006578679,0.007417185,0,-0.001391005,-0.00169744,0.011070111,-0.001871068,0.006005959,-0.005680541,0.001334096,0.006702856,26.34,0,-41.62,70.06572,73.31648333,-0.32717066,52.6695852,64.91730668,79.96420549,0.002643776,-0.020308723
2011/7/28,71.7018,506778,-0.037908802,0.001474637,0.007465607,-0.002785884,-0.011925417,0.003649635,0.011235955,0.029851479,-0.002860394,0.010610963,0.009981406,-93.48,2.23,-14.51,70.15551,73.05375833,-0.273189222,50.18062231,60.60470898,69.84843187,-0.005703437,-0.003233989
2011/7/29,71.0057,460469,0.001358641,-0.005884565,0,-0.002793667,-0.012069349,0.007272727,0.031483377,-0.011594105,-0.011458765,0.003939294,0.00494334,160.89,-0.41,-33.58,70.22706,72.79599667,-0.144484799,53.71411225,49.99348341,58.50516636,-0.014031846,-0.006450522
2011/8/1,73.7902,266764,-0.016281572,0,-0.007410284,0.008404481,0.005237463,0.068592058,0.028725261,-0.038123789,-0.020289236,0.006534517,-0.029506344,43.25,0,-1.63,70.437835,72.57912167,-0.097530795,51.11157216,66.32141287,58.97320175,0.006617169,-0.004132231
2011/8/2,72.746,633392,0.004137762,-0.00591407,0.007465607,0.01944301,-0.003471485,0.067567568,0.003490395,0.021341295,0.011831645,0.003898363,-0.037162881,98.26,0.21,-2.65,70.546705,72.317235,0.162493349,59.55363846,66.18970255,60.83486628,-0.013407069,-0.025556747
