2308 vloume (thousand),2360,3665,1536,1503,4721,2371,1537,1723,6509,8183,1533,2308 foreign investment (m),2308 investment credit (m),2308 dealer (m),MA20,MA60,MACD,RSI,slowk,slowd,台股大盤收盤價(元),S&P500收盤價
1047068,142.94,212.29,89.96,44.73,57.17,16.8,121.36,85.77,22.9,17.46,28.46,326.03,6.05,52.16,178.71,183.53,-1.68,51.99,85.22,66.44,"12,548.28","3,257.30"
1781572,147.62,216.52,91.1,44.92,56.89,16.7,121.8,86.52,23.47,17.61,28.56,-69.93,0,215.84,178.97,183.66,-1.27,52.66,92.45,83.41,"12,704.23","3,276.02"
1001763,143.88,215.58,92.24,46.05,57.75,17.05,122.69,88.03,23.23,17.85,28.71,443.32,0.77,-161.05,179.4,183.73,-0.78,55.37,89.98,89.22,"12,746.37","3,235.66"
1099235,143.88,210.88,91.58,45.72,57.65,17.6,123.13,88.41,22.85,17.9,29.16,82.32,-60.74,-20.63,179.81,183.86,-0.43,54.53,95.18,92.54,"12,887.19","3,215.63"
971505,145.75,206.17,91.58,45.86,57.17,18,123.13,87.94,22.28,17.7,29.66,481.92,-5.6,-5.02,180.39,184.04,0,57.32,91.03,92.06,"12,955.91","3,239.41"
1876044,148.08,206.64,90.91,46.19,55.74,18.15,122.69,87.84,22.28,17.41,29.11,382,-5.29,7.64,180.82,184.19,0.57,61.17,83.63,89.95,"12,947.13","3,218.44"
1525755,145.28,205.7,88.35,45.77,53.93,18.4,123.13,86.81,22.71,17.46,29.06,227.95,-2.33,-3.11,181.13,184.35,0.9,58.34,69.9,81.52,"12,919.31","3,258.44"
994589,145.75,204.76,88.25,46.33,55.46,18,124.02,87.75,23.37,17.7,28.86,170.53,2.72,-1.36,181.39,184.55,1.1,57.38,60.88,71.47,"12,827.82","3,246.22"
1142480,143.41,204.76,88.35,46.14,56.03,18.1,123.58,87.75,22.75,17.85,29.11,217.45,0,-10.89,181.71,184.7,1.29,58.12,56.84,62.54,"12,750.37","3,271.12"
935394,143.41,201.46,89.39,46.05,55.46,17.7,123.58,87.47,23.42,17.66,29.56,237.51,52.26,8,181.97,184.77,1.46,58.89,62.23,59.98,"12,908.34","3,294.61"
932646,146.21,203.82,87.97,46.95,55.65,18.7,123.58,87.75,24.28,17.8,32.49,323.05,14.15,10.41,182.23,184.87,1.69,61.18,66.51,61.86,"12,862.37","3,306.51"
561640,141.54,207.11,87.4,47.04,55.27,19.15,122.69,87.47,23.99,17.75,33.39,164.27,-20.04,8.65,182.5,185.06,1.85,61.18,69.55,66.1,"12,877.25","3,327.77"
792760,141.54,207.11,87.02,47.18,54.98,19.45,123.58,87.94,23.52,18.38,32.79,305.56,-13.36,-20.83,182.71,185.16,1.96,61.18,51.21,62.42,"12,917.03","3,349.16"
492533,137.81,205.23,85.97,47.27,54.6,21.35,123.58,86.99,22.85,18.57,32.74,25.48,-0.58,-16.92,183.03,185.24,1.87,55.98,30.26,50.34,"12,898.82","3,351.28"
927155,138.27,206.64,88.06,47.37,55.08,22.8,123.13,87.84,23.09,19,31.99,-130.75,-2.69,74.11,183.48,185.3,1.58,50.23,23.33,34.94,"12,909.03","3,360.47"
582060,139.67,207.11,86.54,47.09,55.08,21.2,123.13,87.65,22.85,18.28,31.05,278.72,-55.04,-21.01,184.44,185.38,1.53,55.19,50,34.53,"12,875.01","3,333.69"
2070247,138.27,204.29,85.59,47.18,54.7,20.5,123.13,87.37,22.71,18.04,32.44,916.75,0,27.68,185.59,185.39,2.12,67.16,70.7,48.01,"12,793.75","3,380.35"
1807707,137.34,207.11,84.74,47.37,54.03,20.65,122.69,86.99,22.37,17.7,31.75,405.61,0.4,36.96,186.19,185.27,2.37,61.92,65.38,62.03,"12,662.91","3,373.43"
1225054,133.13,207.11,84.07,47.18,53.27,20.8,122.25,86.62,22.9,17.46,31.05,-268.71,23.01,23.16,186.43,184.99,2.12,52.26,34.2,56.76,"12,546.34","3,372.85"
2553404,127.06,206.64,83.6,46.43,52.5,21.05,121.8,86.15,22.52,17.22,30.95,-298.49,-1.71,-92.15,186.38,184.73,1.52,45.33,17.63,39.07,"12,591.31","3,381.99"
1200702,128,202.4,82.65,46.9,52.5,20.7,122.25,86.34,22.28,16.84,30.55,-129.16,0,-115.28,186.31,184.46,0.87,42.88,15.16,22.33,"12,736.01","3,389.78"
880609,131.27,210.88,84.45,46.9,53.84,20.45,122.25,86.71,22.99,17.32,31.1,-64.11,-14.66,-94.21,186.34,184.33,0.36,42.88,32.06,21.61,"12,867.90","3,374.85"
766767,132.2,216.05,86.26,47.18,54.03,20.5,122.25,86.81,22.8,17.41,31.25,216.58,-5.18,-15,186.26,184.14,0.26,49.24,40.83,29.35,"12,918.80","3,385.51"
1576088,137.34,214.64,85.88,46.99,54.12,20.35,122.25,86.62,23.76,17.51,31.65,-58.56,-1.33,-5.86,186.34,184.06,-0.02,45.81,60.25,44.38,"12,973.53","3,397.16"
1745984,135.47,216.52,86.92,47.27,54.31,20.4,121.8,86.52,24.23,17.56,31.55,614.81,-7.97,22.36,186.41,184.04,0.15,52.88,69.41,56.83,"13,127.47","3,431.28"
794246,137.34,229.23,87.78,47.56,55.93,20.4,122.69,87.18,24.76,17.66,31.65,15.6,-3.95,-2.37,186.34,183.9,0.51,56.55,70.13,66.6,"13,081.72","3,443.62"
1056318,136.4,228.76,88.92,47.56,55.36,20.35,123.13,88.78,24.42,17.51,31.2,-195.32,0,-6.94,186.38,183.8,0.44,50.24,64.49,68.01,"13,262.19","3,478.73"
1079673,137.81,226.88,89.96,48.31,55.74,20.3,124.02,91.13,23.99,17.94,32.89,312,-9.16,34.71,186.74,183.77,0.54,52.76,65.92,66.85,"13,221.78","3,484.55"
2649844,137.34,220.76,89.87,48.31,55.84,19.9,124.47,90,23.76,17.8,31.75,1197.86,85.04,4.57,187.01,183.75,1.14,60.34,75.25,68.56,"13,273.33","3,508.01"
923240,139.21,224.53,90.72,48.22,55.93,19.4,124.02,89.72,23.95,17.66,32.74,-69.37,-1.6,22.1,187.27,183.79,1.49,58.19,84.3,75.16,"13,551.83","3,500.31"
1596955,140.61,218.88,90.72,48.4,55.84,19.65,124.47,90.1,23.76,17.66,32.49,336.13,-4.65,11.66,187.7,184.02,1.86,59.74,86.72,82.09,"13,593.01","3,526.65"
1609023,139.21,224.06,90.91,48.5,56.22,19.6,124.47,89.63,24.66,17.8,32.49,552.8,13.26,-23.35,188.01,184.22,2.39,63.16,84.72,85.24,"13,773.29","3,580.84"
1289640,140.14,221.23,91.29,48.59,56.6,19.65,124.02,91.51,25.71,17.85,31.94,-133.78,-0.61,-20.28,188.66,184.39,2.59,59.28,85.94,85.79,"13,722.43","3,455.06"
1760724,139.67,224.06,91.2,48.31,56.03,19.3,124.47,91.6,25.38,18.09,32.59,574.91,-12.69,21.2,189.48,184.61,3.1,64.04,82.68,84.45,"13,716.44","3,426.96"
1138751,142.48,228.29,91.67,48.22,56.41,19.1,123.58,92.83,25,18.04,32.59,94.68,3.34,2.72,190.32,184.85,3.54,64.93,87.34,85.32,"13,878.01","3,331.84"
1611001,144.81,229.23,91.67,48.22,56.6,19.05,123.58,94.99,24.85,18.23,32.89,277.93,-6.78,4.04,190.63,185.1,4.08,67.5,78.12,82.71,"13,807.13","3,398.96"
907407,144.81,232.06,92.43,47.84,56.7,18.9,123.58,94.52,25.14,17.99,32.99,10.89,0.42,0.21,190.96,185.32,4.26,63.33,61,75.49,"13,738.83","3,339.19"
1680976,144.35,230.65,94.24,47.65,57.94,19.1,124.47,94.52,27.05,18.18,33.19,271.62,-3.74,-333.66,191.97,185.75,4.2,60.12,66.33,68.48,"13,845.66","3,340.97"
1941641,143.41,233.47,94.9,47.93,60.99,19,124.47,95.93,26.86,18.76,33.69,498.31,20.74,86.78,193.41,186.22,4.76,67.62,74.03,67.12,"13,867.09","3,383.54"
1925495,141.08,235.35,93.67,47.84,60.22,20.9,124.91,96.87,26.81,18.42,33.94,33.44,0.22,25.54,195.16,186.78,5.44,70.44,89.64,76.67,"13,722.89","3,401.20"
3694079,140.14,230.65,93.29,47.37,59.94,21.05,124.47,96.4,26.71,18.23,33.44,73.41,-2.02,-28.12,197.03,187.35,6.26,73.26,86.68,83.45,"13,885.67","3,385.49"
2476053,148.55,232.53,92.05,46.95,59.46,20.65,125.8,95.46,26.47,18.62,33.34,446.06,34.5,-62.88,198.95,188.09,7.03,74.7,89.56,88.62,"13,989.14","3,357.01"
6881438,148.08,231.12,92.72,46.52,60.13,21.1,127.14,94.99,26,19.29,33.24,-60.32,10.67,17.32,201.23,188.97,7.93,77.34,94.81,90.35,"13,977.09","3,319.47"
2201883,147.62,229.7,96.42,46.66,59.84,21.55,127.58,94.05,25.85,18.86,32.94,127.03,-0.95,-30.81,203.75,189.96,8.92,79.63,96.58,93.65,"14,132.44","3,281.06"
3057996,147.15,228.76,104.02,47.27,60.7,21.45,129.36,95.46,25.76,18.91,33.09,67.18,33.35,3.95,206.26,191.02,10.37,83.26,87.45,92.94,"14,256.60","3,315.57"
4537719,152.29,225.47,104.97,46.8,59.75,21.1,129.36,95.46,25.52,18.86,35.13,-608.25,47.5,-97.09,208.95,192.03,11.61,84.17,75.4,86.48,"14,360.40","3,236.92"
3231978,155.09,228.29,102.6,46.62,59.56,21.1,127.58,95.93,25.9,18.47,33.64,77.19,41.58,-134.21,211.64,193.05,12.38,82.56,65.15,76,"14,390.14","3,246.59"
1883769,160.23,230.65,103.55,47.75,58.89,21.95,128.47,94.52,25.62,18.71,34.33,171.43,1,7.78,213.84,193.99,12.99,83.25,57.11,65.89,"14,249.49","3,298.46"
